Helsinki,Uusimaa,656229,60.1695,24.9354,213.75
Espoo,Uusimaa,292913,60.2055,24.6559,528.03
Tampere,Pirkanmaa,238140,61.4991,23.7871,689.59
Vantaa,Uusimaa,233775,60.2941,25.0408,240.35
Oulu,Pohjois-Pohjanmaa,203750,65.0121,25.4651,3817.52
Turku,Varsinais-Suomi,191603,60.4518,22.2666,245.67
Jyväskylä,Keski-Suomi,142511,62.2426,25.7473,1466.35
Lahti,Päijät-Häme,120093,60.9827,25.6615,154.58
Kuopio,Pohjois-Savo,119249,62.8924,27.677,3177.52
Kouvola,Kymenlaakso,83318,60.8681,26.7042,2878.92
Pori,Satakunta,83520,61.4851,21.7978,1703.14
Joensuu,Pohjois-Karjala,76805,62.6001,29.7634,2751.05
Lappeenranta,Etelä-Karjala,72331,61.0583,28.1887,1723.50
Hämeenlinna,Kanta-Häme,67995,60.995,24.4643,2031.52
Vaasa,Pohjanmaa,67173,63.0951,21.6165,191.65
Rovaniemi,Lappi,63564,66.5039,25.7294,8015.52
Seinäjoki,Etelä-Pohjanmaa,62832,62.7903,22.8405,1469.00
Mikkeli,Etelä-Savo,53582,61.6886,27.2724,3229.57
Kotka,Kymenlaakso,52010,60.4664,26.9451,949.74
Salo,Varsinais-Suomi,51460,60.3833,23.1333,2262.00
Porvoo,Uusimaa,50717,60.3932,25.6639,2397.22
Kokkola,Keski-Pohjanmaa,47255,63.8385,23.1307,1485.00
Lohja,Uusimaa,46716,60.2485,24.0653,1109.73
Hyvinkää,Uusimaa,46191,60.6338,24.8636,336.77
Nurmijärvi,Uusimaa,42955,60.4644,24.8074,367.30
Järvenpää,Uusimaa,42743,60.4738,25.089,39.92
Rauma,Satakunta,39641,61.1275,21.5113,1111.00
Kirkkonummi,Uusimaa,39206,60.1239,24.4384,1017.01
Tuusula,Uusimaa,38873,60.403,25.026,225.46
Kajaani,Kainuu,37531,64.2273,27.7285,2058.00
